board_id,market,product_name,sales_address,lat,long,height,width,facing,total_observed,audience_target_observed,audience_composition,index,day_of_week,AD_00,AD_01,AD_02,AD_03,AD_04,AD_05,AD_06,AD_07,AD_08,AD_09,AD_10,AD_11,AD_12,AD_13,AD_14,AD_15,AD_16,AD_17,AD_18,AD_19,AD_20,AD_21,AD_22,AD_23,AC_00,AC_01,AC_02,AC_03,AC_04,AC_05,AC_06,AC_07,AC_08,AC_09,AC_10,AC_11,AC_12,AC_13,AC_14,AC_15,AC_16,AC_17,AC_18,AC_19,AC_20,AC_21,AC_22,AC_23,I_00,I_01,I_02,I_03,I_04,I_05,I_06,I_07,I_08,I_09,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20,I_21,I_22,I_23
7369673,Toronto,Transit Shelter,Fort York Blvd SS 17.6m E/O Bastion St F/E - O,43.637501,-79.403505,0,0,East,949,780,0.821918,1.246261,Thu,0.029117,0.030937,0.025478,0.026388,0.011829,0.006369,0.00273,0.00364,0.006369,0.013649,0.035487,0.070974,0.085532,0.071884,0.047316,0.049136,0.051865,0.040946,0.071884,0.102821,0.053685,0.049136,0.050045,0.062784,0.820513,0.755556,0.717949,0.805556,0.541667,0.7,0.333333,0.4,0.7,0.833333,0.886364,0.83871,0.824561,0.908046,0.776119,0.9,0.826087,0.775862,0.76699,0.875969,0.746835,0.818182,0.859375,0.758242,1.116607,1.063147,1.048226,1.19734,0.827249,1.115474,0.533984,0.619961,1.04408,1.175163,1.172444,1.076853,1.073275,1.183216,1.036557,1.227273,1.108815,1.030305,0.999772,1.143979,0.983161,1.063611,1.138135,0.990821
7369673,Toronto,Transit Shelter,Fort York Blvd SS 17.6m E/O Bastion St F/E - O,43.637501,-79.403505,0,0,East,1013,833,0.82231,1.207307,Mon,0.047257,0.037131,0.032068,0.027004,0.01519,0.002532,0.003376,0.002532,0.002532,0.013502,0.036287,0.089451,0.089451,0.040506,0.044726,0.035443,0.036287,0.059072,0.072574,0.089451,0.061603,0.070886,0.043882,0.047257,0.835821,0.721311,0.666667,0.744186,0.818182,0.375,0.666667,0.75,0.428571,0.761905,0.796296,0.861789,0.828125,0.774194,0.868852,0.792453,0.843137,0.864198,0.886598,0.821705,0.811111,0.815534,0.852459,0.756757,1.117203,1.005069,0.952844,1.073143,1.19619,0.561717,1.00914,1.103365,0.618463,1.040537,1.053353,1.101643,1.061169,0.983061,1.10118,1.041783,1.116605,1.121615,1.144575,1.057471,1.041555,1.043834,1.104129,0.986738
3087466,Toronto,Transit Shelter,Dundas St. West W/O Gilmour SS F/W - I,43.6655,-79.4792,68.3,47.3,West,124,102,0.822581,1.23648,Sat,0.078014,0.042553,0.035461,0.014184,0.007092,0.014184,,,,,0.007092,0.035461,0.035461,0.028369,0.06383,0.049645,0.070922,0.06383,0.12766,0.106383,0.085106,0.021277,0.035461,0.078014,0.846154,0.857143,0.714286,0.5,0.5,0.666667,,,,,1,0.714286,1,0.8,0.692308,0.777778,0.769231,0.9,0.782609,0.882353,1,0.75,1,0.916667,1.116195,1.16346,1.009165,0.715675,0.739891,0.985879,,,,,1.404311,0.936743,1.330468,1.052522,0.924554,1.028531,0.997607,1.158579,1.006293,1.128398,1.290891,0.978534,1.314389,1.216216
7369673,Toronto,Transit Shelter,Fort York Blvd SS 17.6m E/O Bastion St F/E - O,43.637501,-79.403505,0,0,East,927,765,0.825243,1.23085,Wed,0.038801,0.041446,0.022046,0.015873,0.0194,0.008818,0.003527,0.006173,0.005291,0.018519,0.031746,0.061728,0.075838,0.064374,0.046737,0.045855,0.042328,0.046737,0.066138,0.078483,0.085538,0.067019,0.06261,0.044974,0.721311,0.783333,0.657895,0.666667,0.785714,0.714286,0.444444,0.7,0.666667,0.807692,0.8,0.875,0.781818,0.890244,0.828125,0.852459,0.8,0.757143,0.78125,0.872549,0.906542,0.873563,0.763441,0.822581,0.958079,1.073247,0.922429,0.946377,1.134558,1.048381,0.657764,1.028003,0.961265,1.118307,1.042218,1.114089,0.998507,1.133025,1.056542,1.113676,1.063126,0.992628,1.01961,1.130071,1.177037,1.132932,0.996458,1.089653
2269272,Toronto,Transit Shelter,Lawrence Ave W NS W/O Bathurst St F/W - I,43.719287,-79.429857,68.3,47.3,West,451,373,0.827051,1.233547,Wed,0.053191,0.028369,0.014184,0.01773,0.008865,0.007092,0.008865,0.001773,0.005319,0.005319,0.015957,0.056738,0.072695,0.108156,0.062057,0.046099,0.035461,0.065603,0.069149,0.070922,0.072695,0.058511,0.054965,0.060284,0.857143,0.727273,0.727273,0.833333,0.833333,0.8,1,0.5,1,0.75,0.9,0.941176,0.82,0.897059,0.813953,0.896552,0.909091,0.804348,0.847826,0.8,0.803922,0.825,0.815789,0.918919,1.138498,0.996439,1.019704,1.182971,1.203319,1.174186,1.479971,0.734288,1.441897,1.038429,1.172495,1.198347,1.047272,1.141699,1.038461,1.171281,1.208098,1.054515,1.106499,1.03611,1.043797,1.06995,1.064783,1.217269
7192322,Toronto,Transit Shelter,Lawrence Ave W 12 meter W/O Brookhaven Dr SS F/W-I,43.704239,-79.496797,68.3,47.3,West,76,63,0.828947,1.217051,Mon,0.034091,0.022727,0.034091,0.011364,0.011364,0.011364,,,0.022727,0.022727,0.011364,0.125,0.102273,0.090909,0.034091,0.056818,0.011364,0.045455,0.022727,0.079545,0.090909,0.056818,0.034091,0.068182,0.5,0.4,0.5,0.333333,0.25,0.5,0,0,0.666667,0.4,0.25,0.916667,0.75,0.8,0.6,0.625,0.25,0.5,0.333333,0.636364,0.8,0.833333,1,0.75,0.668327,0.557357,0.714633,0.480678,0.365502,0.748956,0,0,0.962056,0.546282,0.330704,1.171795,0.961059,1.015829,0.760438,0.821644,0.331086,0.648934,0.430324,0.818952,1.027287,1.066616,1.295228,0.977928
4945729,Toronto,Transit Shelter,Don Mills Rd E (3002) SEC 11.3m S/O Deerford Rd F/S - I,43.7853,-79.3505,68.3,47.3,South,83,69,0.831325,1.260525,Thu,0.0625,0.0625,0.05,0.0375,0.0125,,,,,0.0125,0.0375,0.0375,0.05,0.0375,0.0375,0.0375,0.05,0.05,0.05,0.1,0.0625,0.0875,0.025,0.1,1,1,1,0.75,1,,,,0,0.5,0.6,0.75,0.666667,0.5,0.75,0.6,0.8,1,0.666667,0.888889,0.714286,0.875,0.4,0.8,1.360865,1.407105,1.460029,1.114764,1.527228,,,,0,0.705098,0.793654,0.962954,0.867755,0.651518,1.001673,0.818182,1.0738,1.327949,0.869001,1.160852,0.940313,1.137473,0.52975,1.045388
4940799,Toronto,Transit Shelter,Weston Rd (3227) SEC 18.5m S/O Bradstock Rd F/N - O,43.7389,-79.5392,68.3,47.3,North,107,89,0.831776,1.254657,Fri,0.008547,0.017094,,0.017094,0.008547,,,,,,0.008547,0.076923,0.068376,0.145299,0.068376,0.042735,0.025641,0.094017,0.094017,0.119658,0.076923,0.051282,0.034188,0.042735,0.5,1,,0.666667,1,0,,,,,1,0.9,0.888889,0.894737,0.8,1,0.6,1,0.846154,0.823529,0.75,0.75,1,0.714286,0.658794,1.347417,,0.956482,1.425377,0,,,,,1.344778,1.146141,1.151767,1.152674,1.040094,1.316756,0.792029,1.306343,1.094777,1.067839,0.983454,0.990516,1.359658,0.951225
2269272,Toronto,Transit Shelter,Lawrence Ave W NS W/O Bathurst St F/W - I,43.719287,-79.429857,68.3,47.3,West,404,337,0.834158,1.264821,Thu,0.028902,0.036609,0.019268,0.015414,0.009634,0.003854,0.001927,,0.001927,0.00578,0.015414,0.038536,0.088632,0.065511,0.057803,0.036609,0.05395,0.065511,0.11368,0.121387,0.073218,0.042389,0.042389,0.061657,0.789474,0.904762,0.909091,1,1,0.666667,0.5,,1,0.75,0.8,0.769231,0.836364,0.829268,0.909091,0.826087,0.823529,0.918919,0.867647,0.875,0.904762,0.758621,0.88,0.820513,1.074367,1.273095,1.327299,1.486352,1.527228,1.062357,0.800977,,1.491542,1.057647,1.058205,0.987646,1.088639,1.080565,1.21415,1.126483,1.105381,1.220278,1.130978,1.142714,1.191062,0.986184,1.16545,1.072193
7362639,Toronto,Transit Shelter,Leslie St ES 13.5m S/O Talwood Dr F/W - L,43.740733,-79.357199,0,0,West,128,107,0.835938,1.246801,Wed,0.025806,0.03871,0.025806,0.012903,0.012903,0.012903,0.006452,0.006452,0.006452,0.025806,0.032258,0.025806,0.064516,0.070968,0.045161,0.045161,0.03871,0.090323,0.058065,0.058065,0.070968,0.109677,0.051613,0.064516,0.8,1,1,0.666667,1,1,1,1,1,1,0.833333,1,0.909091,0.6875,1,0.875,1,0.875,0.818182,0.75,0.785714,0.809524,0.888889,1,1.062598,1.370103,1.402092,0.946377,1.443983,1.467733,1.479971,1.468575,1.441897,1.384572,1.085643,1.273245,1.161055,0.87499,1.275824,1.143124,1.328907,1.147141,1.06781,0.971353,1.020156,1.049879,1.160195,1.324675
